german,korean,tags,lang
"kommen","오다, 도착하다","other star3","de-DE"
"das Konzert","음악회","noun star3","de-DE"
"der Kopf","머리, 두뇌","noun star3","de-DE"
"kosten","값이다, 필요로 하다","other star3","de-DE"
"krank","아픈","other star3","de-DE"
"die Krawatte","넥타이","noun star3","de-DE"
"die Kreuzung","교차, 교차점","noun star3","de-DE"
"die Küche","부엌, 주방","noun star3","de-DE"
"der Kuchen","케이크","noun star3","de-DE"
"kühl","시원한","other star3","de-DE"
"kurz","짧은","other star3","de-DE"
"lächeln","미소하다","other star3","de-DE"
"lachen","웃다","other star3","de-DE"
"die Lampe","램프","noun star3","de-DE"
"das Land","육지, 땅","noun star3","de-DE"
"die Landschaft","풍경, 지형","noun star3","de-DE"
"lang","긴","other star3","de-DE"
"lange","오랫동안","other star3","de-DE"
"langsam","느린, 천천히","other star3","de-DE"
"langweilig","지루한","other star3","de-DE"
"laufen","달리다, 뛰다","other star3","de-DE"
"laut","시끄러운","other star3","de-DE"
"lecker","맛있는","other star3","de-DE"
"ledig","미혼의, 독신의","other star3","de-DE"
"leer","공허한","other star3","de-DE"
"legen","두다, 눕히다","other star3","de-DE"
"der Lehrer","교사","noun star3","de-DE"
"leicht","가벼운","other star3","de-DE"
"leid","유감으로 생각하다","other star3","de-DE"
"leider","유감스럽게도","other star3","de-DE"
"leihen","빌려주다","other star3","de-DE"
"leise","낮은 목소리의","other star3","de-DE"
"lernen","배우다","other star3","de-DE"
"lesen","읽다","other star3","de-DE"
"Leute","사람들","other star3","de-DE"
"das Licht","빛, 밝기","noun star3","de-DE"
"lieb","사랑하는","other star3","de-DE"
"lieben","사랑하다","other star3","de-DE"
"das Lied","가곡","noun star3","de-DE"
"links","왼쪽에","other star3","de-DE"
"der Löffel","스푼","noun star3","de-DE"
"los","풀린, 해방되다","other star3","de-DE"
"die Luft","공기","noun star3","de-DE"
"die Lust","욕망, 즐거움","noun star3","de-DE"
"lustig","즐거운, 재밌는, 활발한","other star3","de-DE"
"machen","만들다","other star3","de-DE"
"das Mädchen","소녀","noun star3","de-DE"
"der Magen","위, 배","noun star3","de-DE"
"malen","칠하다, 그리다","other star3","de-DE"
"der Mantel","외투","noun star3","de-DE"
"der Markt","장, 시장","noun star3","de-DE"
"die Maschine","기계","noun star3","de-DE"
"das Medikament","약품, 약","noun star3","de-DE"
"das Meer","바다, 대양","noun star3","de-DE"
"meinen","생각하다","other star3","de-DE"
"meistens","대부분","other star3","de-DE"
"der Mensch","인간","noun star3","de-DE"
"das Messer","나이프","noun star3","de-DE"
"mieten","임차하다, 빌리다","other star3","de-DE"
"die Milch","젖, 우유","noun star3","de-DE"
"die Mitte","중앙","noun star3","de-DE"
"das Mittel","수단, 방법","noun star3","de-DE"
"der Mittwoch","수요일","noun star3","de-DE"
"das Möbel","가구","noun star3","de-DE"
"möglich","가능한","other star3","de-DE"
"der Mond","달","noun star3","de-DE"
"müde","지친, 피로한","other star3","de-DE"
"der Mund","입","noun star3","de-DE"
"die Mutter","어머니","noun star3","de-DE"
"der Nachbar","이웃사람","noun star3","de-DE"
"die Nachricht","정보, 뉴스","noun star3","de-DE"
"der Nachtisch","디저트","noun star3","de-DE"
"nahe","가까운","other star3","de-DE"
"nass","축축한","other star3","de-DE"
"die Natur","자연","noun star3","de-DE"
"natürlich","자연의, 타고난","other star3","de-DE"
"der Nebel","안개","noun star3","de-DE"
"nehmen","잡다","other star3","de-DE"
"nervös","신경질적인, 신경성의","other star3","de-DE"
"nett","친절한","other star3","de-DE"
"neu","새로운","other star3","de-DE"
"nie","결코~아니다","other star3","de-DE"
"niedrig","낮은","other star3","de-DE"
"niemand","아무도~아니다","other star3","de-DE"
"normal","표준의, 보통의","other star3","de-DE"
"die Note","악보, 평점, 점수","noun star3","de-DE"
"die Nudel","국수","noun star3","de-DE"
"die Null","제로","noun star3","de-DE"
"die Nummer","수","noun star3","de-DE"
"oben","위에","other star3","de-DE"
"das Obst","과일","noun star3","de-DE"
"obwohl","~에도 불구하고","other star3","de-DE"
"öffnen","열다","other star3","de-DE"
"oft","자주","other star3","de-DE"
"das Ohr","귀","noun star3","de-DE"
"das Öl","기름","noun star3","de-DE"
"der Onkel","숙부, 삼촌","noun star3","de-DE"
"der Ort","장소","noun star3","de-DE"
"der Ost","동쪽","noun star3","de-DE"
"das Päckchen","작은꾸러미","noun star3","de-DE"
"packen","싸다, 붙잡다","other star3","de-DE"
"die Packung","포장","noun star3","de-DE"
"das Papier","종이","noun star3","de-DE"
"parken","주차하다","other star3","de-DE"
"der Pass","좁고 험한 길, 여권","noun star3","de-DE"
"passen","꼭맞다, 어울리다","other star3","de-DE"
"passieren","통과하다, 일어나다, 생기다","other star3","de-DE"
"die Person","사람","noun star3","de-DE"
"der Pfeffer","후추","noun star3","de-DE"
"planen","계획하다","other star3","de-DE"
"der Platz","광장, 장소","noun star3","de-DE"
"die Polizei","경찰","noun star3","de-DE"
"der Polizist","경찰관","noun star3","de-DE"
"die Post","우편, 우체국","noun star3","de-DE"
"der Preis","값, 가격","noun star3","de-DE"
"preiswert","적당한 값의","other star3","de-DE"
"das Problem","문제","noun star3","de-DE"
"das Programm","프로그램","noun star3","de-DE"
"die Prüfung","검사, 조사","noun star3","de-DE"
"pünktlich","정확한","other star3","de-DE"
"putzen","청소하다","other star3","de-DE"
"das Quadrat","정방형, 자승","noun star3","de-DE"
"die Quittung","영수, 영수증","noun star3","de-DE"
"das Rathaus","시청","noun star3","de-DE"
"rauchen","연기나다, 흡연하다","other star3","de-DE"
"rechnen","셈하다","other star3","de-DE"
"die Rechnung","계산","noun star3","de-DE"
"recht","정당한, 적당한","other star3","de-DE"
"rechts","오른쪽으로","other star3","de-DE"
"das Regal","서가, 선반","noun star3","de-DE"
"regnen","비오다","other star3","de-DE"
"reich","풍부한","other star3","de-DE"
"der Reis","쌀, 밥","noun star3","de-DE"
"reisen","여행하다","other star3","de-DE"
"reparieren","수리하다, 수선하다","other star3","de-DE"
"reservieren","예약하다","other star3","de-DE"
"richtig","바른, 정당한","other star3","de-DE"
"die Richtung","방향, 진로, 경향","noun star3","de-DE"
"das Rind","(동물) 소","noun star3","de-DE"
"der Rock","상의, 재킷","noun star3","de-DE"
"rot","붉은","other star3","de-DE"
"der Rücken","등, 잔등","noun star3","de-DE"
"die Rückfahrt","귀향","noun star3","de-DE"
"ruhig","조용한","other star3","de-DE"
"rund","둥근","other star3","de-DE"
"die Sache","사물, 물건","noun star3","de-DE"
"der Saft","주스, 과즙","noun star3","de-DE"
"sagen","말하다","other star3","de-DE"
"der Salat","샐러드","noun star3","de-DE"
"das Salz","소금","noun star3","de-DE"
"der Samstag","토요일","noun star3","de-DE"
"sauber","깨끗한, 청결한","other star3","de-DE"
"sauer","신, 산성의","other star3","de-DE"
"schade","섭섭한, 유감스러운","other star3","de-DE"
"der Schalter","스위치, (우체국등)창구","noun star3","de-DE"
"scharf","날카로운","other star3","de-DE"
"scheinen","빛나다","other star3","de-DE"
"schenken","선물하다","other star3","de-DE"
"schicken","보내다, 적합하다(sich)","other star3","de-DE"
"das Schiff","배, 선박","noun star3","de-DE"
"der Schirm","우산, 양산","noun star3","de-DE"
"schlafen","자다","other star3","de-DE"
"schlank","가늘고 긴, 날씬한","other star3","de-DE"
"schlecht","나쁜","other star3","de-DE"
"schließen","잠그다, 닫다, 끝내다","other star3","de-DE"
"schlimm","좋지않은, 나쁜","other star3","de-DE"
"der Schlüssel","열쇠","noun star3","de-DE"
"schmal","좁은, 모자라는","other star3","de-DE"
"schmecken","~한 맛이 나다","other star3","de-DE"
"der Schmerz","고통","noun star3","de-DE"
"schmutzig","더러운","other star3","de-DE"
"der Schnee","눈","noun star3","de-DE"
"schneiden","자르다, 베다","other star3","de-DE"
"schneien","눈이 오다","other star3","de-DE"
"schnell","신속한","other star3","de-DE"
"das Schnitzel","잘라버린 조각","noun star3","de-DE"
"die Schokolade","초콜릿","noun star3","de-DE"
"schon","이미, 벌써","other star3","de-DE"
"der Schrank","옷장, 책장","noun star3","de-DE"
"schreiben","쓰다, 편지쓰다","other star3","de-DE"
"der Schuh","구두","noun star3","de-DE"
"schuld","죄가있는, 책임있는","other star3","de-DE"
"die Schule","학교, 수업","noun star3","de-DE"
"der Schüler","학생, 제자","noun star3","de-DE"
"schwach","약한, 허약한, 보잘것없는","other star3","de-DE"
"schwarz","검은","other star3","de-DE"
"das Schwein","돼지","noun star3","de-DE"
"schwer","무거운, 어려운, 심한","other star3","de-DE"
"die Schwester","자매, 누이","noun star3","de-DE"
"der See","호수","noun star3","de-DE"
"sehen","보다, 구경하다","other star3","de-DE"
"sehr","몹시, 매우","other star3","de-DE"
"selber","자기가, 직접","other star3","de-DE"
"selbst","스스로, 자신이","other star3","de-DE"
"selten","드문","other star3","de-DE"
"setzen","앉히다","other star3","de-DE"
"sicher","안전한, 확실한","other star3","de-DE"
"singen","노래하다","other star3","de-DE"
"sitzen","앉아있다","other star3","de-DE"
"die Socke","양말","noun star3","de-DE"
"sofort","즉시","other star3","de-DE"
"der Sohn","아들","noun star3","de-DE"
"der Sonnabend","토요일","noun star3","de-DE"
"die Sonne","태양","noun star3","de-DE"
"der Sonntag","일요일","noun star3","de-DE"
"sonst","그렇지 않으면","other star3","de-DE"
"die Sorge","근심","noun star3","de-DE"
"sparen","절약하다, 아끼다","other star3","de-DE"
"der Spaß","농담, 재미","noun star3","de-DE"
"spät","늦은","other star3","de-DE"
"später","나중의, 다음의","other star3","de-DE"
"spielen","놀다, 연주하다, 상연하다","other star3","de-DE"
"die Sprache","언어, 말","noun star3","de-DE"
"sprechen","말하다","other star3","de-DE"
"spzierengehen","산책하다","other star3","de-DE"
"der Staat","나라, 국가","noun star3","de-DE"
"die Stadt","도시","noun star3","de-DE"
"stark","강한, 튼튼한","other star3","de-DE"
"statt","대신에","other star3","de-DE"
"stehen","서다","other star3","de-DE"
"steigen","오르다","other star3","de-DE"
"stellen","세우다, 놓다","other star3","de-DE"
"sterben","죽다","other star3","de-DE"
"die Steuer","세금","noun star3","de-DE"
"stimmen","맞다, 적합하다, 투표하다","other star3","de-DE"
"der Stock","층","noun star3","de-DE"
"stören","어지럽히다, 방해하다","other star3","de-DE"
"der Strand","해변, 해안","noun star3","de-DE"
"die Straße","도로","noun star3","de-DE"
"der Strom","강, 대하","noun star3","de-DE"
"der Strumpf","양말","noun star3","de-DE"
"das Stück","부분, 조각","noun star3","de-DE"
"der Stuhl","의자, 걸상","noun star3","de-DE"
"die Stunde","시간","noun star3","de-DE"
"suchen","찾다","other star3","de-DE"
"der Süd","남","noun star3","de-DE"
"die Suppe","수프","noun star3","de-DE"
"süß","단, 달콤한","other star3","de-DE"
"die Tafel","칠판, 식사, 연회","noun star3","de-DE"
"der Tag","낮, 주간","noun star3","de-DE"
"die Tante","숙모, 고모","noun star3","de-DE"
"tanzen","춤추다","other star3","de-DE"
"die Tasche","가방, 호주머니","noun star3","de-DE"
"die Tasse","잔, 컵","noun star3","de-DE"
"der Tee","차","noun star3","de-DE"
"telefonieren","전화걸다","other star3","de-DE"
"die Telefonzelle","공중전화박스","noun star3","de-DE"
"das Telegramm","전보, 전신","noun star3","de-DE"
"der Teller","접시","noun star3","de-DE"
"der Termin","기한 기일","noun star3","de-DE"
"teuer","비싼","other star3","de-DE"
"das Theater","극장, 연극","noun star3","de-DE"
"tief","깊은","other star3","de-DE"
"das Tier","동물, 짐승","noun star3","de-DE"
"der Tisch","탁자, 책상","noun star3","de-DE"
"die Tochter","딸","noun star3","de-DE"
"tot","죽은","other star3","de-DE"
"tragen","지니고 있다, 나르다","other star3","de-DE"
"träumen","꿈꾸다","other star3","de-DE"
"traurig","슬픈","other star3","de-DE"
"treffen","명중하다, 만나다","other star3","de-DE"
"trinken","마시다","other star3","de-DE"
"trocken","마른, 건조한","other star3","de-DE"
"trotzdem","에도 불구하고","other star3","de-DE"
"die Tür","문","noun star3","de-DE"
"die U-Bahn","지하철","noun star3","de-DE"
"üben","연습하다, 이행하다","other star3","de-DE"
"überall","도처에, 언제나","other star3","de-DE"
"übermorgen","모레","other star3","de-DE"
"übersetzen","번역하다, 통역하다","other star3","de-DE"
"die Uhr","시간, 시각","noun star3","de-DE"
"umsteigen","갈아타다","other star3","de-DE"
"der Unfall","재해, 사고, 상해","noun star3","de-DE"
"ungefähr","대략의","other star3","de-DE"
"die Universität","대학교","noun star3","de-DE"
"unterhalten","부양하다, 기르다, 보존하다","other star3","de-DE"
"der Unterricht","수업","noun star3","de-DE"
"unterschreiben","서명하다","other star3","de-DE"
"untersuchen","조사하다, 진찰하다","other star3","de-DE"
"der Urlaub","휴가","noun star3","de-DE"
"der Vater","아버지","noun star3","de-DE"
"verabreden","약속하다","other star3","de-DE"
"verbieten","금지하다","other star3","de-DE"
"verdienen","얻다, 벌다","other star3","de-DE"
"vergessen","잊다","other star3","de-DE"
"verheiraten","결혼하다","other star3","de-DE"
"verheiratet","결혼한","other star3","de-DE"
"verkaufen","팔다, 판매하다","other star3","de-DE"
"verletzen","해치다, 손상하다","other star3","de-DE"
"der Verletzte","부상자, 피해자","noun star3","de-DE"
"verlieren","잃다, 지다","other star3","de-DE"
"vermieten","세놓다","other star3","de-DE"
"verschieden","다른, 딴, 갖가지의","other star3","de-DE"
"versichern","확언하다, 보증하다","other star3","de-DE"
"die Versicherung","보험, 보증","noun star3","de-DE"
"versprechen","약속하다","other star3","de-DE"
"verstehen","이해하다","other star3","de-DE"
"versuchen","시도하다","other star3","de-DE"
"verwandt","친척의, 같은 종류의","other star3","de-DE"
"vielleicht","아마도","other star3","de-DE"
"der Vogel","새","noun star3","de-DE"
"voll","가득찬","other star3","de-DE"
"vorbei","지나서, 통과하여","other star3","de-DE"
"vorgestern","그저께","other star3","de-DE"
"vorhaben","의도하다, 계획하다","other star3","de-DE"
"der Vorname","이름","noun star3","de-DE"
"vorschlagen","제안하다, 제의하다","other star3","de-DE"
"die Vorsicht","조심, 주의","noun star3","de-DE"
"vorstellen","상상하다, 소개하다","other star3","de-DE"
"der Wagen","마차, 자동차","noun star3","de-DE"
"wählen","고르다, 선택하다","other star3","de-DE"
"wahr","진실한, 참된","other star3","de-DE"
"während","~하는 동안에","other star3","de-DE"
"wahrscheinlich","있을 법한","other star3","de-DE"
"der Wald","숲","noun star3","de-DE"
"die Wand","벽","noun star3","de-DE"
"warm","따뜻한","other star3","de-DE"
"warten","기다리다","other star3","de-DE"
"waschen","빨래하다, 씻다","other star3","de-DE"
"das Wasser","물","noun star3","de-DE"
"wechseln","바꾸다, 변경하다","other star3","de-DE"
"der Weg","길","noun star3","de-DE"
"weh","슬픈, 고통주다","other star3","de-DE"
"weich","부드러운, 폭신한","other star3","de-DE"
"der Wein","포도주","noun star3","de-DE"
"weinen","울다","other star3","de-DE"
"weiß","흰","other star3","de-DE"
"weit","넓은","other star3","de-DE"
"weiter","더 넓은, 더 먼","other star3","de-DE"
"welch","어떤","other star3","de-DE"
"die Welt","세계","noun star3","de-DE"
"wenig","적은","other star3","de-DE"
"der Westen","서쪽","noun star3","de-DE"
"das Wetter","날씨","noun star3","de-DE"
"wichtig","중요한, 중대한","other star3","de-DE"
"wieder","다시, 재차","other star3","de-DE"
"wiederholen","반복하다","other star3","de-DE"
"das Wiederhören","다시 듣기","noun star3","de-DE"
"wieviel","얼마만큼","other star3","de-DE"
"der Wind","바람","noun star3","de-DE"
"der Winter","겨울","noun star3","de-DE"
"wirklich","현실의, 실제의","other star3","de-DE"
"wissen","알다","other star3","de-DE"
"die Woche","주","noun star3","de-DE"
"wohnen","살다, 거주하다","other star3","de-DE"
"die Wohnung","주택","noun star3","de-DE"
"das Wort","단어, 낱말","noun star3","de-DE"
"wünschen","원하다","other star3","de-DE"
"die Wurst","소시지, 순대","noun star3","de-DE"
"die Zahl","수","noun star3","de-DE"
"zahlen","치르다, 지불하다","other star3","de-DE"
