"german","korean","exam_point","teil","passage","order","type"
"die Neuerung","새로운 기술, 혁신","technische Neuerung","Teil 2","Kino in der Schweiz","39","word"
"sich lohnen","가치가 있다, 보람 있다","Investitionen haben sich gelohnt","Teil 2","Kino in der Schweiz","40","word"
"die Angabe","정보, 수치, 자료","statistische Angaben","Teil 2","Kino in der Schweiz","41","word"
"im Vergleich zum Vorjahr","전년도와 비교해서","통계 문제 핵심 표현","Teil 2","Kino in der Schweiz","42","word"
"sinken","감소하다","sank = 감소했다","Teil 2","Kino in der Schweiz","43","word"
"ausgeben","지출하다","Geld ausgeben","Teil 2","Kino in der Schweiz","44","word"
"der Stadtrand","도시 외곽, 변두리","am Stadtrand","Teil 3","Wohnungsanzeigen 1","1","word"
"einziehen","이사 들어오다","bei jemandem einziehen","Teil 3","Wohnungsanzeigen 1","2","word"
"verbringen","시간을 보내다","den Dezember verbringen","Teil 3","Wohnungsanzeigen 1","3","word"
"vermieten","임대하다, 세놓다","Wohnung vermieten","Teil 3","Wohnungsanzeigen 1","4","word"
"sich selbstständig machen","자영업/사업을 시작하다","Laden suchen과 연결","Teil 3","Wohnungsanzeigen 1","5","word"
"die Lage","위치, 입지","gute Lage","Teil 3","Wohnungsanzeigen 1","6","word"
"die Miete erhöhen","월세를 올리다","erhöhen = 증가시키다","Teil 3","Wohnungsanzeigen 1","7","word"
"gelegen","위치한","zentral gelegen","Teil 3","Wohnungsanzeigen 1","8","word"
"die Kochgelegenheit","취사 가능 시설","Küche보다 약한 표현","Teil 3","Wohnungsanzeigen 1","9","word"
"dringend","급히, 긴급하게","sucht dringend","Teil 3","Wohnungsanzeigen 1","10","word"
"zentral gelegen","중심지에 위치한","집 광고 빈출","Teil 3","Wohnungsanzeigen 1","11","word"
"unkompliziert","까다롭지 않은, 무난한","사람 성격 설명","Teil 3","Wohnungsanzeigen 1","12","word"
"humorvoll","유머 있는","사람 소개","Teil 3","Wohnungsanzeigen 1","13","word"
"Lage egal","위치 상관없음","egal = 상관없는","Teil 3","Wohnungsanzeigen 2","14","word"
"möbliert","가구가 딸린","möblierte Wohnung","Teil 3","Wohnungsanzeigen 2","15","word"
"Nebenkosten","관리비, 부대비용","Miete + Nebenkosten","Teil 3","Wohnungsanzeigen 2","16","word"
"Mieterschutz","세입자 보호","Mieter = 세입자","Teil 3","Wohnungsanzeigen 2","17","word"
"damit","…하기 위해서, 그래서","목적/결과 연결","Teil 3","Wohnungsanzeigen 2","18","word"
"die Onlineberatung","온라인 상담","Beratung = 상담","Teil 3","Wohnungsanzeigen 2","19","word"
"der Rechtsanwalt","변호사","법률 도움 광고","Teil 3","Wohnungsanzeigen 2","20","word"
"der Schriftverkehr","서면 연락, 문서 왕래","집주인과의 문서 연락","Teil 3","Wohnungsanzeigen 2","21","word"
"repräsentative Ladenfläche","보기 좋은 상업용 점포 공간","Ladenfläche = 매장 공간","Teil 3","Wohnungsanzeigen 2","22","word"
"der Eigentümer","소유자","direkt vom Eigentümer","Teil 3","Wohnungsanzeigen 2","23","word"
"Angebote","제안, 매물 연락","Angebote bitte an …","Teil 3","Wohnungsanzeigen 2","24","word"
"Streitigkeiten","분쟁, 다툼","Streit = 싸움","Teil 3","Wohnungsanzeigen 2","25","word"
"jederzeit","언제든지","jederzeit kostenlose Beratung","Teil 3","Wohnungsanzeigen 2","26","word"
"kostenlose Rechtsberatung","무료 법률 상담","kostenlos = 무료","Teil 3","Wohnungsanzeigen 2","27","word"
"Mitglied werden lohnt sich","회원이 되면 이득이다","sich lohnen = 가치 있다","Teil 3","Wohnungsanzeigen 2","28","word"
"der Kurierdienst","퀵서비스, 서류 배송 서비스","Kurier = 배달원","Teil 3","Wohnungsanzeigen 2","29","word"
"Unterlagen","서류, 자료","공식 서류/문서","Teil 3","Wohnungsanzeigen 2","30","word"
"zuverlässig","믿을 수 있는, 신뢰할 수 있는","사람/서비스 모두 가능","Teil 3","Wohnungsanzeigen 2","31","word"
"die Spedition","이삿짐/운송 회사","Umzug 광고 핵심","Teil 3","Wohnungsanzeigen 2","32","word"
"preiswert","가격이 저렴한","billig보다 자연스러움","Teil 3","Wohnungsanzeigen 2","33","word"
"gewerblich","상업용의, 사업상의","privat und gewerblich","Teil 3","Wohnungsanzeigen 2","34","word"
"der Wochenendzuschlag","주말 추가요금","Zuschlag = 추가요금","Teil 3","Wohnungsanzeigen 2","35","word"
"der Aufpreis","추가 비용","gegen Aufpreis","Teil 3","Wohnungsanzeigen 2","36","word"
"übernehmen","맡다, 담당하다","Wir übernehmen …","Teil 3","Wohnungsanzeigen 2","37","word"
"sämtliche","모든, 전부의","동의어: alle","Teil 3","Wohnungsanzeigen 2","38","word"
"Handwerkerarbeiten","수리/공사/시공 작업","Handwerker = 기술자","Teil 3","Wohnungsanzeigen 2","39","word"
"Laminat legen","라미네이트 바닥을 깔다","legen = 깔다","Teil 3","Wohnungsanzeigen 2","40","word"
"streichen","페인트칠하다","Räume streichen","Teil 3","Wohnungsanzeigen 2","41","word"
"Räume","방들, 공간들","der Raum = 방/공간","Teil 3","Wohnungsanzeigen 2","42","word"
"Möbel aufbauen","가구를 조립하다","aufbauen = 조립하다/세우다","Teil 3","Wohnungsanzeigen 2","43","word"
"Leserkommentare","독자 댓글","Leser = 독자","Teil 4","Leserkommentare: Werbeverbot","1","word"
"Verbraucherschützer","소비자 보호 단체/소비자 보호론자","Verbraucher + schützen","Teil 4","Leserkommentare: Werbeverbot","2","word"
"ein Verbot fordern","금지를 요구하다","fordern = 요구하다","Teil 4","Leserkommentare: Werbeverbot","3","word"
"zustimmen","동의하다","jemandem zustimmen","Teil 4","Leserkommentare: Werbeverbot","4","word"
"geworben","광고되었다","werben = 광고하다","Teil 4","Leserkommentare: Werbeverbot","5","word"
"in denen","그 안에서, 그것들에서","관계대명사 표현","Teil 4","Leserkommentare: Werbeverbot","6","word"
"bereits","이미","동의어: schon","Teil 4","Leserkommentare: Werbeverbot","7","word"
"übergewichtig","과체중의","Gewicht = 체중","Teil 4","Leserkommentare: Werbeverbot","8","word"
"Werbespots","광고 영상, TV 광고","spot = 짧은 광고","Teil 4","Leserkommentare: Werbeverbot","9","word"
"rechtlich","법적으로","Recht = 법","Teil 4","Leserkommentare: Werbeverbot","10","word"
"sich an Kinder richten","아이들을 대상으로 하다","sich richten an + A","Teil 4","Leserkommentare: Werbeverbot","11","word"
"verbieten","금지하다","Verbot = 금지","Teil 4","Leserkommentare: Werbeverbot","12","word"
"Einnahmen","수입, 수익","Einnahmen aus Werbung","Teil 4","Leserkommentare: Werbeverbot","13","word"
"leiden","손해를 보다, 고통받다","Qualität würde leiden","Teil 4","Leserkommentare: Werbeverbot","14","word"
"deshalb","그래서, 그러므로","동의어: darum","Teil 4","Leserkommentare: Werbeverbot","15","word"
"auf etwas verzichten","…을 포기하다","auf Werbung verzichten","Teil 4","Leserkommentare: Werbeverbot","16","word"
"Wirkung","효과, 영향","Wirkung der Werbung","Teil 4","Leserkommentare: Werbeverbot","17","word"
"festzustellen sein","확인될 수 있다","schwer festzustellen","Teil 4","Leserkommentare: Werbeverbot","18","word"
"Einfluss","영향","Einfluss auf + A","Teil 4","Leserkommentare: Werbeverbot","19","word"
"Konsumverhalten","소비 행동","Konsum + Verhalten","Teil 4","Leserkommentare: Werbeverbot","20","word"
"vermutlich","아마도","동의어: wahrscheinlich","Teil 4","Leserkommentare: Werbeverbot","21","word"
"sinnvoll","의미 있는, 합리적인","ein sinnvoller Anfang","Teil 4","Leserkommentare: Werbeverbot","22","word"
"gezeigt","보여주었다","zeigen = 보여주다","Teil 4","Leserkommentare: Werbeverbot","23","word"
"Plakatwände","광고판, 포스터 게시판","Plakat = 포스터","Teil 4","Leserkommentare: Werbeverbot","24","word"
"sinnvolle Produkte","유익한/합리적인 제품","광고 금지가 항상 나쁜 건 아님","Teil 4","Leserkommentare: Werbeverbot","25","word"
"Verbraucher schützen","소비자를 보호하다","schützen = 보호하다","Teil 4","Leserkommentare: Werbeverbot","26","word"
"sich gesund ernähren","건강하게 먹다","Ernährung = 식습관","Teil 4","Leserkommentare: Werbeverbot","27","word"
"dickmachende Lebensmittel","살찌게 하는 음식","dickmachen = 살찌게 하다","Teil 4","Leserkommentare: Werbeverbot","28","word"
"Versuch","시도","ein positiver Versuch","Teil 4","Leserkommentare: Werbeverbot","29","word"
"ausreichen","충분하다","nicht ausreichen","Teil 4","Leserkommentare: Werbeverbot","30","word"
"Verbote","금지들","단수: das Verbot","Teil 4","Leserkommentare: Werbeverbot","31","word"
"außerdem","게다가, 또한","동의어: also / in addition","Teil 4","Leserkommentare: Werbeverbot","32","word"
"die Gebrauchsinformation","사용 설명서, 복용 안내문","약 설명서 빈출","Teil 5","Gebrauchsinformation: Arzneimittel","1","word"
"bewahren Sie … sorgfältig auf","…을 잘 보관하세요","aufbewahren = 보관하다","Teil 5","Gebrauchsinformation: Arzneimittel","2","word"
"das Arzneimittel","의약품","동의어: Medikament","Teil 5","Gebrauchsinformation: Arzneimittel","3","word"
"zur Behandlung von","…의 치료를 위한","Behandlung = 치료","Teil 5","Gebrauchsinformation: Arzneimittel","4","word"
"das Rezept","처방전","nur auf Rezept","Teil 5","Gebrauchsinformation: Arzneimittel","5","word"
"erhältlich","구할 수 있는, 판매되는","in Apotheken erhältlich","Teil 5","Gebrauchsinformation: Arzneimittel","6","word"
"eingenommen werden","복용되다","einnehmen = 복용하다","Teil 5","Gebrauchsinformation: Arzneimittel","7","word"
"verordnet","처방된","vom Arzt verordnet","Teil 5","Gebrauchsinformation: Arzneimittel","8","word"
"üblich","일반적인, 통상적인","die übliche Dosis","Teil 5","Gebrauchsinformation: Arzneimittel","9","word"
"innerhalb von 24 Stunden","24시간 이내에","innerhalb = …이내에","Teil 5","Gebrauchsinformation: Arzneimittel","10","word"
"die Einnahme","복용","nach der Einnahme","Teil 5","Gebrauchsinformation: Arzneimittel","11","word"
"mit viel Flüssigkeit","많은 물과 함께","약 복용 안내","Teil 5","Gebrauchsinformation: Arzneimittel","12","word"
"während","…하는 동안","während der Schwangerschaft","Teil 5","Gebrauchsinformation: Arzneimittel","13","word"
"Beschwerden","증상, 불편함","Schmerzen보다 넓은 의미","Teil 5","Gebrauchsinformation: Arzneimittel","14","word"
"den Arzt aufsuchen","병원/의사를 찾다","동의어: zum Arzt gehen","Teil 5","Gebrauchsinformation: Arzneimittel","15","word"
"die Anwendung","사용, 복용, 적용","Anwendung eines Medikaments","Teil 5","Gebrauchsinformation: Arzneimittel","16","word"
"empfohlen","권장된","empfehlen = 추천하다","Teil 5","Gebrauchsinformation: Arzneimittel","17","word"
"der Wirkstoff","유효성분","약효를 내는 성분","Teil 5","Gebrauchsinformation: Arzneimittel","18","word"
"sich beraten lassen","상담을 받다","Lassen Sie sich beraten","Teil 5","Gebrauchsinformation: Arzneimittel","19","word"
"Schwangerschaft","임신","during pregnancy","Teil 5","Gebrauchsinformation: Arzneimittel","20","word"
"Stillzeit","수유 기간","breastfeeding period","Teil 5","Gebrauchsinformation: Arzneimittel","21","word"
"abgesprochen","상의된, 협의된","mit dem Arzt abgesprochen","Teil 5","Gebrauchsinformation: Arzneimittel","22","word"
"erhöhtes Risiko","높아진 위험","erhöht = 증가한","Teil 5","Gebrauchsinformation: Arzneimittel","23","word"
"angewendet werden","사용되다, 적용되다","약/치료법 표현","Teil 5","Gebrauchsinformation: Arzneimittel","24","word"
"in die Muttermilch übergehen","모유로 넘어가다","übergehen = 옮겨가다","Teil 5","Gebrauchsinformation: Arzneimittel","25","word"
"Verhalten im Verkehr","교통 상황에서의 행동","운전 관련 주의","Teil 5","Gebrauchsinformation: Arzneimittel","26","word"
"beim Bedienen von Maschinen","기계를 조작할 때","bedienen = 조작하다","Teil 5","Gebrauchsinformation: Arzneimittel","27","word"
"Müdigkeit","피로, 졸림","운전 주의","Teil 5","Gebrauchsinformation: Arzneimittel","28","word"
"Schwindel","어지러움","dizziness","Teil 5","Gebrauchsinformation: Arzneimittel","29","word"
"auftreten","발생하다, 나타나다","Symptome treten auf","Teil 5","Gebrauchsinformation: Arzneimittel","30","word"
"Reaktionsfähigkeit","반응 능력","운전/기계 조작 핵심","Teil 5","Gebrauchsinformation: Arzneimittel","31","word"
"verschlechtern","악화시키다","sich verschlechtern","Teil 5","Gebrauchsinformation: Arzneimittel","32","word"
"die Fähigkeit","능력","ability","Teil 5","Gebrauchsinformation: Arzneimittel","33","word"
"angemessen reagieren","적절하게 반응하다","angemessen = 적절한","Teil 5","Gebrauchsinformation: Arzneimittel","34","word"
"beeinträchtigt sein","방해받다, 저하되다","기능/능력이 떨어짐","Teil 5","Gebrauchsinformation: Arzneimittel","35","word"
"Auto fahren","운전하다","문맥상 driving","Teil 5","Gebrauchsinformation: Arzneimittel","36","word"
"Maschinen bedienen","기계를 조작하다","Bedienung = 조작","Teil 5","Gebrauchsinformation: Arzneimittel","37","word"
"im Vergleich zum Vorjahr / verglichen mit","전년도와 비교해서 / …와 비교해서","통계 문제에서 증가/감소와 같이 확인","Teil 2","","","expression"
"eine kleine Steigerung","작은 증가","sinken과 헷갈리지 않기","Teil 2","","","expression"
"Geld in die Kassen bringen","돈을 벌어다 주다","관광/경제 효과 표현","Teil 2","","","expression"
"Wohnung zu vermieten","집 임대함","제공하는 광고","Teil 3","","","expression"
"Zimmer/Wohnung gesucht","방/집 구함","찾는 광고","Teil 3","","","expression"
"Miete erhöhen","월세를 올리다","세입자 상담 광고와 연결","Teil 3","","","expression"
"Hilfe beim Umzug","이사 도움","Spedition과 연결","Teil 3","","","expression"
"gegen Aufpreis","추가요금을 내면","조건 표현","Teil 3","","","expression"
"ein Verbot fordern","금지를 요구하다","찬성 쪽 표현","Teil 4","","","expression"
"auf Werbung verzichten","광고를 포기하다","광고 반대/경제 논리와 연결","Teil 4","","","expression"
"schwer festzustellen","확인하기 어렵다","효과 불확실성 표현","Teil 4","","","expression"
"nach der Einnahme","복용 후","약 설명서 빈출","Teil 5","","","expression"
"mit viel Flüssigkeit","많은 물과 함께","복용 방법","Teil 5","","","expression"
"den Arzt aufsuchen","의사를 찾다","증상 지속 시","Teil 5","","","expression"
"beeinträchtigt sein","저하되다/방해받다","운전/기계 조작 주의","Teil 5","","","expression"
